,precision,recall,f1-score,support
weighted avg,0.6344316532170039,0.6658050221565731,0.6382511571097662,2708.0
macro avg,0.23111546696914873,0.21643373789739148,0.211546005140579,2708.0
micro avg,0.6871189024390244,0.6658050221565731,0.6762940735183796,2708.0
A2,0.7790530846484935,0.900497512437811,0.8353846153846154,603.0
A1B1,0.7222222222222222,0.9196141479099679,0.809052333804809,311.0
A4,0.6265060240963856,0.5652173913043478,0.5942857142857143,184.0
A1B1C1,0.6802325581395349,0.7697368421052632,0.7222222222222222,152.0
A3,0.7755102040816326,0.8085106382978723,0.7916666666666666,141.0
A2B2,0.5666666666666667,0.35051546391752575,0.43312101910828027,97.0
A1B1C1D1E1,0.8867924528301887,0.9690721649484536,0.9261083743842364,97.0
A6,0.5512820512820513,0.46236559139784944,0.5029239766081871,93.0
A1B1C1D1,0.6822429906542056,0.948051948051948,0.7934782608695652,77.0
A3B3C3,0.5119047619047619,0.8269230769230769,0.6323529411764706,52.0
A3B3,0.75,0.7659574468085106,0.7578947368421053,47.0
A1B1C1D1E1F1,0.875,0.8536585365853658,0.8641975308641975,41.0
A12,0.7222222222222222,0.3611111111111111,0.48148148148148145,36.0
A5,0.6666666666666666,0.6111111111111112,0.6376811594202898,36.0
A-1,0.5384615384615384,0.4,0.45901639344262296,35.0
A2B2C2,0.5454545454545454,0.35294117647058826,0.42857142857142855,34.0
A3B3C3D3,0.7297297297297297,0.9,0.8059701492537313,30.0
A8,0.5,0.14814814814814814,0.22857142857142856,27.0
A2B1,0.2727272727272727,0.25,0.2608695652173913,24.0
A4B4,0.52,0.5652173913043478,0.5416666666666666,23.0
A2B2C2D2,0.6666666666666666,0.35294117647058826,0.46153846153846156,17.0
A1B2,0.3333333333333333,0.2,0.25,15.0
A24,0.8333333333333334,1.0,0.9090909090909091,15.0
A14,1.0,0.35714285714285715,0.5263157894736842,14.0
A60,0.875,0.5384615384615384,0.6666666666666666,13.0
A10,0.25,0.23076923076923078,0.24,13.0
A7,0.7142857142857143,0.7692307692307693,0.7407407407407407,13.0
A2B1C1,0.6,0.25,0.35294117647058826,12.0
A3B1,0.42105263157894735,0.6666666666666666,0.5161290322580645,12.0
A3B2C2,0.0,0.0,0.0,12.0
A12B12,0.875,0.6363636363636364,0.7368421052631579,11.0
A8B8,0.8,0.4,0.5333333333333333,10.0
A2B2C1,0.75,0.3,0.42857142857142855,10.0
A4B1,0.5,0.4,0.4444444444444444,10.0
A3B3C3D3E3F3,0.9090909090909091,1.0,0.9523809523809523,10.0
A4B2,0.0,0.0,0.0,9.0
A4B4C4,0.5555555555555556,0.5555555555555556,0.5555555555555556,9.0
A1B3,0.3333333333333333,0.4444444444444444,0.38095238095238093,9.0
A3B1C1,0.2,0.125,0.15384615384615385,8.0
A1B1C2,0.5,0.25,0.3333333333333333,8.0
A2B1C1D1,0.8333333333333334,0.625,0.7142857142857143,8.0
A18,0.0,0.0,0.0,8.0
A1B4,0.5,0.5,0.5,8.0
A1B1C1D1E1F3,0.875,1.0,0.9333333333333333,7.0
A6B2,0.0,0.0,0.0,7.0
A3B2,0.0,0.0,0.0,7.0
A2B2C2D2E2,0.5,0.3333333333333333,0.4,6.0
A60B60C60,1.0,1.0,1.0,5.0
A4B4C4D4,0.0,0.0,0.0,5.0
A180,0.5,0.6,0.5454545454545454,5.0
A60B60C60D60,1.0,1.0,1.0,5.0
A6B6C6,0.0,0.0,0.0,5.0
A5B2,0.0,0.0,0.0,5.0
A7B7,0.5,0.2,0.2857142857142857,5.0
A2B2C1D1,0.5,0.6,0.5454545454545454,5.0
A1B2C1D1,1.0,0.2,0.3333333333333333,5.0
A11,0.5,0.25,0.3333333333333333,4.0
A2B1C2D1E1F1,0.0,0.0,0.0,4.0
A1B2C1,0.16666666666666666,0.25,0.2,4.0
A9,0.0,0.0,0.0,4.0
A3B3C1D1,0.0,0.0,0.0,4.0
A-1B-1,1.0,0.5,0.6666666666666666,4.0
A2B4,0.0,0.0,0.0,4.0
A1B1C1D2,0.5,0.25,0.3333333333333333,4.0
A6B1,0.25,0.5,0.3333333333333333,4.0
A4B2C2,0.0,0.0,0.0,3.0
A12B10,0.0,0.0,0.0,3.0
A-1B-1C-1,0.0,0.0,0.0,3.0
A2B2C2D1,0.0,0.0,0.0,3.0
A1B5,1.0,0.3333333333333333,0.5,3.0
A14B14,0.5,0.3333333333333333,0.4,3.0
A20,0.0,0.0,0.0,3.0
A16,0.0,0.0,0.0,3.0
A3B3C3D3E3,0.4,0.6666666666666666,0.5,3.0
A1B1C3,0.0,0.0,0.0,2.0
A3B6,0.0,0.0,0.0,2.0
A12B12C12,0.0,0.0,0.0,2.0
A1B2C2,0.0,0.0,0.0,2.0
A3B3C3D1,0.0,0.0,0.0,2.0
A2B2C4,0.0,0.0,0.0,2.0
A4B4C4D4E4,0.0,0.0,0.0,2.0
A1B2C1D2,0.0,0.0,0.0,2.0
A6B3,0.0,0.0,0.0,2.0
A1B1C1D1E1F2,0.0,0.0,0.0,2.0
A6B12,0.0,0.0,0.0,2.0
A60B60,0.0,0.0,0.0,2.0
A7B1,1.0,0.5,0.6666666666666666,2.0
A2B3C2,0.0,0.0,0.0,2.0
A4B1C1,0.0,0.0,0.0,2.0
A1B1C12,1.0,0.5,0.6666666666666666,2.0
A6B6,0.2,0.5,0.2857142857142857,2.0
A1B1C2D2,0.0,0.0,0.0,2.0
A2B5,1.0,1.0,1.0,2.0
A5B5,1.0,0.5,0.6666666666666666,2.0
A4B4C4D4E1,0.0,0.0,0.0,2.0
A1B2C2D1,0.0,0.0,0.0,2.0
A4B8,0.0,0.0,0.0,2.0
A1B3C1,0.0,0.0,0.0,2.0
A6B1C14,1.0,1.0,1.0,2.0
A3B3C8D7,0.0,0.0,0.0,1.0
A1B2C4D1E1,0.0,0.0,0.0,1.0
A6B6C6D6,0.0,0.0,0.0,1.0
A1B6,0.0,0.0,0.0,1.0
A12B6C6D6E12,0.0,0.0,0.0,1.0
A2B2C2D2E2F1,0.0,0.0,0.0,1.0
A-1B10,0.0,0.0,0.0,1.0
A3B9C2D1,0.0,0.0,0.0,1.0
A2B2C2D2E2F2,0.0,0.0,0.0,1.0
A-1B24,0.0,0.0,0.0,1.0
A3B6C6,0.0,0.0,0.0,1.0
A3B3C3D2,0.0,0.0,0.0,1.0
A9B3C3D3E3,0.0,0.0,0.0,1.0
A1B2C1D1E1F1,0.0,0.0,0.0,1.0
A1B3C3,0.0,0.0,0.0,1.0
A4B8C4,0.0,0.0,0.0,1.0
A18B16,0.0,0.0,0.0,1.0
A7B7C1,0.0,0.0,0.0,1.0
A-1B-1C-1D-1,0.0,0.0,0.0,1.0
A-1B12,1.0,1.0,1.0,1.0
A5B2C1,0.0,0.0,0.0,1.0
A2B1C1D1E1F4,0.0,0.0,0.0,1.0
A2B1C2D1E2,0.0,0.0,0.0,1.0
A1B1C1D2E1F2,1.0,1.0,1.0,1.0
A3B3C3D1E1,0.0,0.0,0.0,1.0
A10B1,1.0,1.0,1.0,1.0
A7B2C1,0.0,0.0,0.0,1.0
A-1B3C6D3E3,0.0,0.0,0.0,1.0
A6B1C1,0.5,1.0,0.6666666666666666,1.0
A2B2C3D3,0.0,0.0,0.0,1.0
A6B5,0.0,0.0,0.0,1.0
A1B2C1D1E1,0.0,0.0,0.0,1.0
A1B1C1D2E1F1,0.0,0.0,0.0,1.0
A1B1C2D1E1F2,0.0,0.0,0.0,1.0
A4B4C2D4,0.0,0.0,0.0,1.0
A60B-1,0.0,0.0,0.0,1.0
A3B4C4,0.0,0.0,0.0,1.0
A1B12C1D1E1,1.0,1.0,1.0,1.0
A3B5C3,0.0,0.0,0.0,1.0
A9B6,0.0,0.0,0.0,1.0
A2B2C2D3,0.0,0.0,0.0,1.0
A6B12C12D12E18F6,0.0,0.0,0.0,1.0
A11B11,0.0,0.0,0.0,1.0
A4B9,0.0,0.0,0.0,1.0
A2B2C3,0.0,0.0,0.0,1.0
A15,0.0,0.0,0.0,1.0
A5B8,0.0,0.0,0.0,1.0
A1B3C3D1E1,1.0,1.0,1.0,1.0
A18B24,0.0,0.0,0.0,1.0
A3B3C2D2,0.0,0.0,0.0,1.0
A4B6,0.0,0.0,0.0,1.0
A8B3,0.0,0.0,0.0,1.0
A1B1C1D1E2F1,0.0,0.0,0.0,1.0
A1B3C1D1,0.0,0.0,0.0,1.0
A12B2,0.0,0.0,0.0,1.0
A4B4C4D4E3,0.0,0.0,0.0,1.0
A3B3C2D1,0.0,0.0,0.0,1.0
A1B1C2D2E2,0.0,0.0,0.0,1.0
A3B2C2D2E2,0.0,0.0,0.0,1.0
A1B2C1D2E2,0.0,0.0,0.0,1.0
A180B180,0.0,0.0,0.0,1.0
A16B14,0.0,0.0,0.0,1.0
